method,region,size,threads,mean,ci
pth_com,Seahorse_Valley,1024,4,0.356206873,0.0009076151124040001
pth_com,Seahorse_Valley,1024,8,0.247756053,0.0017967268963559998
pth_com,Seahorse_Valley,1024,16,0.191959147,0.002558431511216
pth_com,Seahorse_Valley,1024,32,0.177969919,0.001604576789704
pth_com,Seahorse_Valley,2048,1,4.14997135,0.021148253999600006
pth_com,Seahorse_Valley,2048,2,2.496755886,0.009297918919464
pth_com,Seahorse_Valley,2048,4,1.418419145,0.00611622335324
pth_com,Seahorse_Valley,2048,8,0.963470718,0.006231728604024001
pth_com,Seahorse_Valley,2048,16,0.750039917,0.01249566501722
pth_com,Seahorse_Valley,2048,32,0.692259544,0.0031207060243520005
pth_com,Seahorse_Valley,4096,1,16.389418914,0.054609543821448
pth_com,Seahorse_Valley,4096,2,9.956253701,0.021465682979356
pth_com,Seahorse_Valley,4096,4,5.659113841,0.012201049441196
pth_com,Seahorse_Valley,4096,8,3.814671737,0.035888431701696
pth_com,Seahorse_Valley,4096,16,2.97192672,0.04426982042112
pth_com,Seahorse_Valley,4096,32,2.803946633,0.014838485581835998
pth_com,Seahorse_Valley,8192,1,65.297705515,0.17917690393316005
pth_com,Seahorse_Valley,8192,2,39.472151652,0.092838500685504
pth_com,Seahorse_Valley,8192,4,22.436222628,0.030782497445616005
pth_com,Seahorse_Valley,8192,8,15.13914548,0.13055999061952
pth_com,Seahorse_Valley,8192,16,11.578312561,0.106659415311932
pth_com,Seahorse_Valley,8192,32,11.187593072,0.07674688847392
pth_com,Elephant_Valley,16,1,0.000783121,2.6707558584000005e-5
pth_com,Elephant_Valley,16,2,0.000680069,2.1326963840000002e-5
pth_com,Elephant_Valley,16,4,0.000644712,1.8701805695999998e-5
pth_com,Elephant_Valley,16,8,0.000693481,3.7242703624e-5
pth_com,Elephant_Valley,16,16,0.000878675,3.87495675e-5
pth_com,Elephant_Valley,16,32,0.001243408,4.5329682048e-5
